NIVEL,CIFRAS AL DIA:,31-ene-19,28-feb-19,31-mar-19,30-abr-19,31-may-19,30-jun-19,31-jul-19,31-ago-19,30-sep-19,31-oct-19,30-nov-19,31-dic-19,31-ene-20,29-feb-20,31-mar-20,30-abr-20,31-may-20,30-jun-20,31-jul-20,31-ago-20,30-sep-20,31-oct-20,30-nov-20,31-dic-20,31-ene-21,28-feb-21,31-mar-21,30-abr-21,31-may-21,30-jun-21,31-jul-21,31-ago-21,30-sep-21,31-oct-21,30-nov-21,31-dic-21,31-ene-22,28-feb-22,31-mar-22,30-abr-22,31-may-22,30-jun-22,31-jul-22,31-ago-22,30-sep-22,31-oct-22,30-nov-22,31-dic-22
2,INVERSIONES EN VALORES,117588638.63,123418337.06,123253546.32,123791117.14,124656115.89,125443877.38,126317719.81,126377829.27,132487336.18,133335655.96,134162307.37,96158876.75,134866427.53,135579464.12,136358226.58,146079797.88,155177260.37,162798071.55,163495752.16,164617624.47,170218477.25,170123600.93,174992152.49,138555635.46,177865160.02,178396988.71,185035553.68,191914768.81,192221781.98,199640357.62,199491832.23,200045754.27,200762269.53,201526886.46,203810530.79,161668430.1,206072942.42,212957883.35,219018696.96,220137586.47,225550095.15,230852129.52,232332395.05,231214624.92,231322790.57,234006724.86,234270093.07,194815067.58
3,TÍTULOS PARA NEGOCIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     TÍTULOS PARA NEGOCIAR SIN RESTRICCIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     TÍTULOS PARA NEGOCIAR RESTRINGIDOS O DADOS EN GARANTÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TÍTULOS DISPONIBLES PARA LA VENTA,67165243.63,103288371.6,102991396.67,103402150.47,94122421.6,94705810.31,95368727.01,95223727.37,101129999.5,101769436.62,102394928.11,0,102548485.88,103074752.27,103656204.66,114375838.59,123292689.44,121742567.24,122258942.68,123200174.72,123622239.24,123343258.27,123726904.29,0,123852421.79,124207027.16,124639037.19,125003409.82,125380280.74,131990753.99,131437154.2,131894083.54,132361181.1,132862818.41,134884492.72,0,132518731.3,139095007.52,144798384.5,145556012.13,150577880.54,155455412.08,156433628.15,154798644.75,154398728.8,153026397.41,152724032.79,0
4,     TÍTULOS DISPONIBLES PARA LA VENTA SIN RESTRICCIÓN,67165243.63,103288371.6,102991396.67,103402150.47,94122421.6,94705810.31,95368727.01,95223727.37,101129999.5,101769436.62,102394928.11,0,102548485.88,103074752.27,103656204.66,114375838.59,123292689.44,121742567.24,122258942.68,123200174.72,123622239.24,123343258.27,123726904.29,0,123852421.79,124207027.16,124639037.19,125003409.82,125380280.74,131990753.99,131437154.2,131894083.54,132361181.1,132862818.41,134884492.72,0,132518731.3,139095007.52,144798384.5,145556012.13,150577880.54,155455412.08,156433628.15,154798644.75,154398728.8,153026397.41,152724032.79,0
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,67165243.63,103288371.6,102991396.67,103402150.47,94122421.6,94705810.31,95368727.01,95223727.37,101129999.5,101769436.62,102394928.11,0,102548485.88,103074752.27,103656204.66,114375838.59,123292689.44,121742567.24,122258942.68,123200174.72,123622239.24,123343258.27,123726904.29,0,123852421.79,124207027.16,124639037.19,125003409.82,125380280.74,131990753.99,131437154.2,131894083.54,132361181.1,132862818.41,134884492.72,0,132518731.3,139095007.52,144798384.5,145556012.13,150577880.54,155455412.08,156433628.15,154798644.75,154398728.8,153026397.41,152724032.79,0
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     TÍTULOS DISPONIBLES PARA LA VENTA RESTRINGIDOS O DADOS EN GARANTÍA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,TÍTULOS CONSERVADOS A VENCIMIENTO,50423395,20129965.46,20262149.65,20388966.67,30533694.29,30738067.07,30948992.8,31154101.9,31357336.68,31566219.34,31767379.26,96158876.75,32317941.65,32504711.85,32702021.92,31703959.29,31884570.93,41055504.31,41236809.48,41417449.75,46596238.01,46780342.66,51265248.2,138555635.46,54012738.23,54189961.55,60396516.49,66911358.99,66841501.24,67649603.63,68054678.03,68151670.73,68401088.43,68664068.05,68926038.07,161668430.1,73554211.12,73862875.83,74220312.46,74581574.34,74972214.61,75396717.44,75898766.9,76415980.17,76924061.77,80980327.45,81546060.28,194815067.58
4,     TÍTULOS CONSERVADOS A VENCIMIENTO SIN RESTRICCIÓN,49538167.19,20129965.46,20262149.65,20388966.67,30533694.29,30738067.07,30948992.8,31154101.9,31357336.68,31566219.34,31767379.26,96158876.75,32317941.65,32504711.85,32702021.92,31703959.29,31884570.93,41055504.31,41236809.48,41417449.75,46596238.01,46780342.66,51265248.2,137197076.19,52650009.05,52823265.31,59025274.22,65535949.53,65461772.76,66265722.06,66666315.48,66758347.25,67003008.84,67261064.17,67517279.87,160253821.17,72133376.13,72436141.75,72786572.52,73140779.62,73523279.47,73939649.3,74433239.81,74940108.46,75438224.16,79483839.18,80038389.02,193145331
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,49538167.19,20129965.46,20262149.65,20388966.67,30533694.29,30738067.07,30948992.8,31154101.9,31357336.68,31566219.34,31767379.26,96158876.75,32317941.65,32504711.85,32702021.92,31703959.29,31884570.93,41055504.31,41236809.48,41417449.75,46596238.01,46780342.66,51265248.2,137197076.19,52650009.05,52823265.31,59025274.22,65535949.53,65461772.76,66265722.06,66666315.48,66758347.25,67003008.84,67261064.17,67517279.87,160253821.17,72133376.13,72436141.75,72786572.52,73140779.62,73523279.47,73939649.3,74433239.81,74940108.46,75438224.16,79483839.18,80038389.02,193145331
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,     TÍTULOS CONSERVADOS A VENCIMIENTO RESTRINGIDOS O DADOS EN GARANTÍA,885227.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358559.27,1362729.18,1366696.24,1371242.27,1375409.46,1379728.48,1383881.57,1388362.55,1393323.48,1398079.59,1403003.88,1408758.2,1414608.93,1420834.99,1426734.08,1433739.94,1440794.72,1448935.14,1457068.14,1465527.09,1475871.71,1485837.61,1496488.27,1507671.26,1669736.58
5,          Deuda gubernamental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,          Deuda bancaria,885227.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358559.27,1362729.18,1366696.24,1371242.27,1375409.46,1379728.48,1383881.57,1388362.55,1393323.48,1398079.59,1403003.88,1408758.2,1414608.93,1420834.99,1426734.08,1433739.94,1440794.72,1448935.14,1457068.14,1465527.09,1475871.71,1485837.61,1496488.27,1507671.26,1669736.58
5,          Otros títulos de deuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DEUDORES POR REPORTO,1077773.14,0,0,0,0,0,0,0,0,0,0,35653931.34,0,0,0,0,0,0,0,0,0,0,0,34688250.15,0,0,0,0,0,0,0,0,0,0,0,39475256.99,0,0,0,0,0,0,0,0,0,0,0,37693474.01
2,CARTERA DE CRÉDITO VIGENTE,222924144.95,224159682.87,228254527.81,231198754.36,234835029.79,237830289.02,242146726.59,244675654.77,244155792.61,245022606.44,249305963.14,253447198.01,253171826.23,258197656.26,255267117.05,249195301.26,247831873.37,252609674.94,257869574.28,257902080.21,258060610.55,258846730.33,258561744.07,261692985.14,261502231.92,264627719.89,267261643.93,271480081.15,272117990.53,280541643.67,285073702.8,290678519.94,294807304.01,295554832.3,300679613.43,305185212.9,302519127.2,305302884.52,303819263.87,306844983.85,306228518.54,309978044.56,312766831.17,315664364.15,319393951.13,323017462.68,327172406.96,328263372.58
3,     CRÉDITOS COMERCIALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330599.94,1279220.51,3681430.69,5991589.82,7767671.7,9558563.51,10323041.19,11460877.08,12847991.37,13960946.38,14224335.49,15576004.86,16235676.37,17578996.19,17567592.42,17504035.15,17106096.77,17278363.42,17568396.5,17314114.43,17226633.25,17151114.66,17148392.76,17044676.61,17177210.54,16584806.22
4,          ACTIVIDAD EMPRESARIAL O COMERCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330599.94,1279220.51,3681430.69,5991589.82,7767671.7,9558563.51,10323041.19,11460877.08,12847991.37,13960946.38,14224335.49,15576004.86,16235676.37,17578996.19,17567592.42,17504035.15,17106096.77,17278363.42,17568396.5,17314114.43,17226633.25,17151114.66,17148392.76,17044676.61,17177210.54,16584806.22
5,               Operaciones quirografarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330599.94,1279220.51,3681430.69,5991589.82,7767671.7,9558563.51,10323041.19,11460877.08,12847991.37,13960946.38,14224335.49,15576004.86,16235676.37,17578996.19,17567592.42,17504035.15,17106096.77,17278363.42,17568396.5,17314114.43,17226633.25,17151114.66,17148392.76,17044676.61,17177210.54,16584806.22
5,               Operaciones prendarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Operaciones de factoraje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Operaciones de arrendamiento capitalizable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Microcréditos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          PRÉSTAMOS DE LIQUIDEZ A OTRAS SOCIEDADES COOPERATIVAS DE AHORRO Y PRÉSTAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,     CRÉDITOS DE CONSUMO,222924144.95,224159682.87,228254527.81,231198754.36,234835029.79,237830289.02,242146726.59,244675654.77,244155792.61,245022606.44,249305963.14,253447198.01,253171826.23,258197656.26,255267117.05,249195301.26,247831873.37,252609674.94,257869574.28,257902080.21,258060610.55,258846730.33,258231144.13,260413764.63,257820801.23,258636130.07,259493972.23,261921517.64,261794949.34,269080766.59,272225711.43,276717573.56,280582968.52,279978827.44,284443937.06,287606216.71,284951534.78,287798849.37,286713167.1,289566620.43,288660122.04,292663930.13,295540197.92,298513249.49,302245558.37,305972786.07,309995196.42,311678566.36
4,          TARJETA DE CRÉDITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          PERSONALES,84751227.3,84069167.25,84863951.49,85918611.92,88377288.66,88648870.3,88761028.56,91384298.32,91400862.31,92303502.78,93251159.72,95843350.83,93672355.33,96787841.78,94866518.61,91883809.37,91677742.71,94504297.99,97437314.26,97782928.62,98712593.28,100539066.85,100490706.47,101016318.26,99026341.19,99858944.49,99952695.01,100669088.92,100436408.39,102587892.93,104874923.56,107075838.9,108714002.22,108694263.87,111751967.54,113717121.06,112380567.91,112680271.95,110707564.85,112370969.26,112725199.94,114432566.04,113690312.95,116320088.09,118545697.34,121105906.37,123470762.41,123939880.43
4,          NÓMINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          AUTOMOTRIZ,21899030.04,22258527.44,24763265.56,25535585.59,26345137.46,27852877.28,28785907.58,29535233,29652735.44,29930089.96,30029729.42,31190713.5,31737276.44,32627720.06,32608027.13,32003110.41,32056983.71,31846012.04,33592210.4,33448335.95,32308664.18,31996418.57,31306667.24,31563386.87,31738784.67,30854365.6,31102777.28,30185963.29,30592782.91,30432256.69,30079927.37,30822420.86,32167984.08,31127446.55,31249535.32,31251445.62,30586222.5,29061735.83,28093072.74,27379864.08,26920524.7,26141740.79,25721741.64,24946261.27,23990096.6,22625639.05,22772834.31,22363018.26
4,          ADQUISICION DE BIENES MUEBLES,5228418.1,5311372.84,5334855.57,5288525.06,5428035.5,5775051.95,5908715.97,5891424.03,5926995.42,5822225.83,5990996.6,5941990.9,5811287.29,5987823.67,5688225.12,5459169.77,5150172.59,5317482.58,5449332.1,5690844.23,5673505.39,5697662.03,6049707.81,6255361.62,6240293.51,6461063.08,6770949.31,6867752.62,7155645.45,7490343.37,7672718.64,7508140.28,8035103.91,8485564.59,8481710.49,8685140.79,8397370.87,8459727.48,8593785.4,8562688.19,8469609.92,8457058.81,8817001.92,9038457.5,9481739.49,9421711.61,10117751.59,10407580.65
4,          OPERACIONES DE ARRENDAMIENTO CAPITALIZABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          OTROS CRÉDITOS DE CONSUMO,111045469.51,112520615.34,113292455.19,114456031.79,114684568.17,115553489.49,118691074.48,117864699.42,117175199.44,116966787.87,120034077.4,120471142.78,121950907.17,122794270.75,122104346.19,119849211.71,118946974.36,120941882.33,121390717.52,120979971.41,121365847.7,120613582.88,120384062.61,121578697.88,120815381.86,121461756.9,121667550.63,124198712.81,123610112.59,128570273.6,129598141.86,131311173.52,131665878.31,131671552.43,132960723.71,133952509.24,133587373.5,137597114.11,139318744.11,141253098.9,140544787.48,143632564.49,147311141.41,148208442.63,150228024.94,152819529.04,153633848.11,154968087.02
3,     CRÉDITOS A LA VIVIENDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          MEDIA Y RESIDENCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          DE INTERÉS SOCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CARTERA DE CRÉDITO VENCIDA,8510523.77,8326649.58,8084623.04,7985938.48,8601200.44,8555334.18,9815845.47,10179728.42,9635282.78,10183608.73,10612811.92,9414585.71,9782552.23,9393481.94,10564206.83,11280782.03,11232500.88,11297565.47,11656082.76,12293435.94,11885060.41,11936346.5,12851584.62,12005083.6,11919348.69,11902114.6,11345870.32,11339316.36,10736351.73,11012534.35,11351843.32,10663661.84,10688792.99,11287456.46,11714316.86,11195017.64,11260286.87,11310272.6,8401771.31,8675587.24,8859390.86,8984485.78,9434692.26,9149329.26,9443852.02,9199730.29,9441498.07,9394795.57
3,     CRÉDITOS VENCIDOS COMERCIALES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68842.99,137208.43,137208.43,68365.44,68365.44,68365.44,160062.24,250872.28,201907.56,201907.56,201907.56,240802.76,240802.76,240802.76,240802.76,198957.44,254012.76,254012.76
4,          ACTIVIDAD EMPRESARIAL O COMERCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68842.99,137208.43,137208.43,68365.44,68365.44,68365.44,160062.24,250872.28,201907.56,201907.56,201907.56,240802.76,240802.76,240802.76,240802.76,198957.44,254012.76,254012.76
5,               Operaciones quirografarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68842.99,137208.43,137208.43,68365.44,68365.44,68365.44,160062.24,250872.28,201907.56,201907.56,201907.56,240802.76,240802.76,240802.76,240802.76,198957.44,254012.76,254012.76
5,               Operaciones prendarias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Operaciones de factoraje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Operaciones de arrendamiento capitalizable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Microcréditos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,               Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,          PRÉSTAMOS DE LIQUIDEZ A OTRAS SOCIEDADES COOPERATIVAS DE AHORRO Y PRÉSTAMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,     CRÉDITOS VENCIDOS DE CONSUMO,8510523.77,8326649.58,8084623.04,7985938.48,8601200.44,8555334.18,9815845.47,10179728.42,9635282.78,10183608.73,10612811.92,9414585.71,9782552.23,9393481.94,10564206.83,11280782.03,11232500.88,11297565.47,11656082.76,12293435.94,11885060.41,11936346.5,12851584.62,12005083.6,11919348.69,11902114.6,11345870.32,11339316.36,10736351.73,11012534.35,11283000.33,10526453.41,10551584.56,11219091.02,11645951.42,11126652.2,11100224.63,11059400.32,8199863.75,8473679.68,8657483.3,8743683.02,9193889.5,8908526.5,9203049.26,9000772.85,9187485.31,9140782.81
4,          TARJETA DE CRÉDITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
